movie_name,online_aggregate_rating,average_score
Inside Out 2,4,3.6
Wicked,4,3.7
Deadpool & Wolverine,3.8,3.7
Quiet Place: Day 1,3.7,3.6
Dune Part 2,4.3,3.7
Kingdom of the Planet of Apes,3.8,3.7
